"Date","IE","Firefox","Chrome","Safari","Opera","Android","iPhone","Nokia","UC Browser","BlackBerry","iPod Touch","NetFront","Maxthon","Sony PS3","IEMobile","360 Safe Browser","Mozilla","Yandex Browser","Dolfin","Silk","Sogou Explorer","Samsung","AOL","Unknown","Chromium","SeaMonkey","Jasmine","Obigo","Openwave","RockMelt","QQ Browser","Sony PSP","SonyEricsson","Flock","Iron","Pale Moon","AppleWebKit","Netscape","Other"
2008-12,67.27,25.16,1.25,2.29,2.9,0.01,0.13,0.11,0,0.03,0.07,0.01,0,0.07,0.01,0,0.15,0,0,0,0,0,0.28,0,0,0.04,0,0,0.02,0,0,0.03,0.02,0.01,0,0,0.01,0.03,0.12
2009-01,64.97,26.85,1.37,2.55,3.07,0.01,0.15,0.12,0,0.03,0.09,0.01,0,0.08,0.01,0,0.15,0,0,0,0,0,0.27,0,0,0.04,0,0,0.02,0,0,0.03,0.02,0.01,0,0,0.01,0.03,0.11
2009-02,63.98,27.66,1.5,2.57,3.09,0.01,0.16,0.13,0,0.04,0.09,0.01,0,0.07,0.01,0,0.15,0,0,0,0,0,0.26,0,0,0.03,0,0,0.02,0,0,0.02,0.02,0.01,0,0,0.01,0.03,0.11
2009-03,62.02,29.17,1.71,2.71,3.09,0.02,0.19,0.14,0,0.05,0.12,0.01,0,0.08,0.01,0,0.16,0,0,0,0,0,0.25,0,0,0.03,0,0,0.02,0,0,0.03,0.03,0.01,0,0,0.01,0.03,0.11
2009-04,61.34,29.41,2.05,2.73,3.12,0.02,0.21,0.14,0,0.06,0.15,0.01,0,0.1,0.01,0,0.17,0,0,0,0,0,0.23,0,0,0.03,0,0,0.02,0,0,0.02,0.03,0.01,0,0,0.01,0.02,0.1
2009-05,61.55,28.5,2.4,2.63,3.41,0.02,0.19,0.15,0,0.06,0.13,0.01,0,0.09,0.01,0,0.39,0,0,0,0,0,0.21,0,0,0.03,0,0,0.02,0,0,0.02,0.03,0.01,0,0,0.01,0.02,0.11
2009-06,58.93,30.05,2.79,2.9,3.57,0,0.21,0.17,0,0.07,0.13,0.02,0,0.11,0.01,0,0.54,0,0,0,0,0,0.2,0,0,0.03,0,0,0.02,0,0,0.03,0.03,0.02,0,0,0.01,0.02,0.12
2009-07,59.48,30.18,2.98,2.99,2.88,0.02,0.23,0.2,0,0.09,0.13,0.02,0,0.13,0.01,0,0.2,0,0,0,0,0,0.2,0,0,0.03,0,0,0.02,0,0,0.03,0.02,0.01,0,0,0.02,0.02,0.11
2009-08,58.04,30.93,3.34,3.21,2.92,0.03,0.25,0.21,0,0.09,0.12,0.04,0,0.15,0.01,0,0.24,0,0,0,0,0.01,0.19,0,0,0.03,0,0,0.02,0,0,0.02,0,0.01,0,0,0.02,0.02,0.09
2009-09,57.72,30.99,3.65,3.24,2.89,0.03,0.24,0.23,0,0.1,0.11,0.04,0,0.12,0.01,0,0.26,0,0,0,0,0.01,0.18,0,0,0.03,0,0,0.02,0,0,0.02,0,0.01,0,0,0.02,0.02,0.08
